[ReparadorMateriales] Inicio DRY-RUN - 2025-09-14 10:07:06
Carpeta sectores: C:\Users\jose.cespedes\Documents\GitHub\dotnet-juego-rpg\MiJuegoRPG\DatosJuego\mapa\SectoresMapa
- 1_20 (1_20.json): nodos afectados=4, materiales eliminados=4, listas normalizadas=0
- 1_21 (1_21.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 1_22 (1_22.json): nodos afectados=4, materiales eliminados=4, listas normalizadas=0
- 1_23 (1_23.json): nodos afectados=4, materiales eliminados=4, listas normalizadas=0
- 1_24 (1_24.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 1_25 (1_25.json): nodos afectados=4, materiales eliminados=4, listas normalizadas=0
- 1_26 (1_26.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 1_27 (1_27.json): nodos afectados=4, materiales eliminados=4, listas normalizadas=0
- 1_28 (1_28.json): nodos afectados=4, materiales eliminados=4, listas normalizadas=0
- 1_29 (1_29.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 1_3 (1_3.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 1_30 (1_30.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 1_31 (1_31.json): nodos afectados=4, materiales eliminados=4, listas normalizadas=0
- 1_32 (1_32.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 1_33 (1_33.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 1_34 (1_34.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 1_35 (1_35.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 1_36 (1_36.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 1_37 (1_37.json): nodos afectados=4, materiales eliminados=4, listas normalizadas=0
- 1_38 (1_38.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 1_39 (1_39.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 1_4 (1_4.json): nodos afectados=4, materiales eliminados=4, listas normalizadas=0
- 1_40 (1_40.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 1_41 (1_41.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 1_42 (1_42.json): nodos afectados=4, materiales eliminados=4, listas normalizadas=0
- 1_43 (1_43.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 1_44 (1_44.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 1_45 (1_45.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 1_46 (1_46.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 1_47 (1_47.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 1_48 (1_48.json): nodos afectados=4, materiales eliminados=4, listas normalizadas=0
- 1_49 (1_49.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 1_5 (1_5.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 1_50 (1_50.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 1_51 (1_51.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 1_52 (1_52.json): nodos afectados=4, materiales eliminados=4, listas normalizadas=0
- 1_53 (1_53.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 1_54 (1_54.json): nodos afectados=2, materiales eliminados=2, listas normalizadas=0
- 1_6 (1_6.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 1_7 (1_7.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 1_8 (1_8.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 1_9 (1_9.json): nodos afectados=4, materiales eliminados=4, listas normalizadas=0
- 10_0 (10_0.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 10_1 (10_1.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 10_10 (10_10.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 10_11 (10_11.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 10_12 (10_12.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 10_13 (10_13.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 10_14 (10_14.json): nodos afectados=3, materiales eliminados=6, listas normalizadas=0
- 10_15 (10_15.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 10_16 (10_16.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 10_17 (10_17.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 10_18 (10_18.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 10_19 (10_19.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 10_2 (10_2.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 10_20 (10_20.json): nodos afectados=3, materiales eliminados=6, listas normalizadas=0
